장르	태그	상대빈도
J	XSV	0.021517
J	MM	0.018522
J	XSN	0.018139
J	XSA	0.014066
J	NP	0.011942
J	SP	0.011768
J	SS	0.008356
J	XR	0.008217
J	JC	0.006371
J	ETN	0.006023
J	SN	0.005397
J	SL	0.003899
J	MAJ	0.003133
J	VCN	0.002994
J	JKC	0.002542
J	SE	0.001741
J	NR	0.001393
J	XPN	0.001184
J	IC	0.000487
J	JKQ	0.000279
J	SH	0.000209
J	SW	3.5e-05
