장르	태그	상대빈도
G	JC	0.005102
G	XR	0.005066
G	ETN	0.004899
G	MAJ	0.003698
G	SH	0.003373
G	JKC	0.003355
G	NR	0.003201
G	VCN	0.002488
G	SN	0.001987
G	SL	0.001707
G	IC	0.00158
G	SE	0.001508
G	XPN	0.00116
G	JKQ	0.000546
G	JKV	0.000411
G	NA	2.7e-05
G	SW	2.7e-05
G	SO	2.3e-05
H	NNG	0.251262
H	EC	0.063625
H	VV	0.059049
H	ETM	0.058123
H	JKB	0.047857
H	JX	0.036504
H	JKO	0.032882
H	JKG	0.032617
H	XSV	0.031746
H	NNB	0.030704
H	SS	0.030297
H	SF	0.027997
H	EF	0.027011
H	MAG	0.024044
H	XSN	0.023662
H	JKS	0.022119
H	NNP	0.021116
H	VCP	0.021004
H	SP	0.020843
H	VX	0.017269
H	EP	0.014739
H	SN	0.014291
H	VA	0.013401
H	MM	0.013166
H	NP	0.011451
H	XSA	0.009826
H	JC	0.008483
H	ETN	0.005778
H	XR	0.005443
H	SH	0.004987
H	MAJ	0.003933
H	SL	0.002868
H	JKC	0.002642
H	XPN	0.002584
H	NR	0.002153
H	VCN	0.002049
H	SW	0.001337
H	JKQ	0.000461
H	SE	0.000288
H	SO	0.00018
H	IC	0.000156
H	JKV	3.4e-05
H	NA	1.9e-05
J	NNG	0.197549
J	VV	0.079591
J	EC	0.078024
J	ETM	0.074542
J	JKB	0.041362
J	JX	0.040561
J	MAG	0.034259
J	JKO	0.033807
J	SF	0.033285
J	NNB	0.031962
J	EF	0.031474
J	NNP	0.030708
J	JKS	0.02566
J	EP	0.024372
J	VCP	0.024267
J	VA	0.023989
J	VX	0.023292
J	JKG	0.023083
J	XSV	0.021517
J	MM	0.018522
J	XSN	0.018139
J	XSA	0.014066
J	NP	0.011942
J	SP	0.011768
J	SS	0.008356
J	XR	0.008217
J	JC	0.006371
J	ETN	0.006023
J	SN	0.005397
J	SL	0.003899
J	MAJ	0.003133
J	VCN	0.002994
J	JKC	0.002542
J	SE	0.001741
J	NR	0.001393
J	XPN	0.001184
J	IC	0.000487
J	JKQ	0.000279
J	SH	0.000209
J	SW	3.5e-05
